stop_id,stop_name,stop_lat,stop_lon
27.5153.042023040413225224,Stop 24,-27.50068,153.03593
27.5153.04202304041338480,Stop 0,-27.50068,153.03593
27.47153.032023040413530939,Stop 39,-27.47152,153.02652
27.47153.03202304041353090,Stop 0,-27.47152,153.02652
27.43153.1520230404143801140,Stop 140,-27.42558,153.15025
27.43153.15202304050643160,Stop 0,-27.42605,153.15005
27.47153.0220230405073546158,Stop 158,-27.46947,153.02462
27.47153.02202304050820300,Stop 0,-27.46937,153.02447
27.48153.022023040508315527,Stop 27,-27.479,153.02312
27.48153.02202304050844450,Stop 0,-27.479,153.02312
27.48153.042023040508552220,Stop 20,-27.48253,153.03632
27.48153.04202304050906590,Stop 0,-27.48118,153.03785
27.43153.1520230405093422118,Stop 118,-27.42558,153.15027
27.43153.15202304051012590,Stop 0,-27.42602,153.15003
27.5153.0420230405105444168,Stop 168,-27.49947,153.04152
27.49153.04202304051159190,Stop 0,-27.48675,153.03513
27.47153.032023040512125437,Stop 37,-27.47172,153.02625
27.47153.03202304051212540,Stop 0,-27.47172,153.02625
27.44153.1320230405130107124,Stop 124,-27.44062,153.12763
27.44153.13202304051306220,Stop 0,-27.44062,153.12763
27.43153.152023040513261857,Stop 57,-27.42605,153.14997
27.43153.15202304060551410,Stop 0,-27.42602,153.15008
27.47153.0220230406062219131,Stop 131,-27.46928,153.02475
27.47153.02202304060722030,Stop 0,-27.46918,153.0248
27.43153.1520230406075959143,Stop 143,-27.42558,153.15025
27.43153.15202304060859340,Stop 0,-27.42603,153.15005
27.48153.0220230406093402162,Stop 162,-27.4787,153.02218
27.48153.02202304060959090,Stop 0,-27.47862,153.02212
27.49153.032023040610105128,Stop 28,-27.48732,153.02962
27.49153.03202304061019200,Stop 0,-27.48732,153.02962
27.47153.032023040610313239,Stop 39,-27.47157,153.02722
27.47153.03202304061031320,Stop 0,-27.47157,153.02722
27.46153.032023040610575727,Stop 27,-27.45618,153.03317
27.46153.03202304061108370,Stop 0,-27.45618,153.03317
27.43153.1520230406113624115,Stop 115,-27.42557,153.1503
27.43153.15202304061237440,Stop 0,-27.42598,153.1501
27.48153.0420230406130931135,Stop 135,-27.4825,153.03635
27.49153.04202304061348200,Stop 0,-27.48678,153.03517
27.43153.1520230406141625131,Stop 131,-27.42555,153.15028
27.43153.15202304061432330,Stop 0,-27.42602,153.1501
27.26153.0820230406151659201,Stop 201,-27.2591,153.08115
27.26153.08202304061522000,Stop 0,-27.2591,153.08115
27.5153.0420230406155748171,Stop 171,-27.50062,153.03587
27.5153.04202304061618030,Stop 0,-27.50062,153.03587
27.43153.1520230406165636138,Stop 138,-27.42625,153.15163
27.43153.15202304061851530,Stop 0,-27.42607,153.15002
27.44153.172023040619005942,Stop 42,-27.44435,153.17167
27.44153.17202304061915330,Stop 0,-27.44435,153.17167
27.43153.152023040619230036,Stop 36,-27.42605,153.14997
27.43153.15202304080529230,Stop 0,-27.426,153.1501
27.47153.0220230408060204159,Stop 159,-27.4695,153.02495
27.47153.03202304080635530,Stop 0,-27.46932,153.02503
27.48153.022023040806495043,Stop 43,-27.479,153.02322
27.48153.02202304080703080,Stop 0,-27.479,153.02322
27.48153.122023040807225988,Stop 88,-27.47715,153.12048
27.48153.12202304080734520,Stop 0,-27.47715,153.12048
27.43153.152023040807450468,Stop 68,-27.42568,153.15028
27.43153.15202304080809430,Stop 0,-27.42605,153.15013
27.48153.0420230408084024137,Stop 137,-27.4826,153.03652
27.48153.04202304080902350,Stop 0,-27.4826,153.03652
27.46153.032023040809124030,Stop 30,-27.45615,153.03328
27.46153.03202304080927570,Stop 0,-27.45615,153.03328
27.43153.1520230408095722135,Stop 135,-27.42558,153.15027
27.43153.15202304081024290,Stop 0,-27.42597,153.15008
27.47153.0320230408111424184,Stop 184,-27.47137,153.02613
27.47153.03202304081145170,Stop 0,-27.4715,153.02613
27.49153.042023040812103741,Stop 41,-27.48693,153.03513
27.49153.04202304081220160,Stop 0,-27.48693,153.03513
27.5153.042023040812260318,Stop 18,-27.50052,153.0359
27.5153.04202304081237220,Stop 0,-27.50052,153.0359
27.43153.1520230408130600148,Stop 148,-27.42562,153.15023
27.43153.15202304081336020,Stop 0,-27.42657,153.14995
27.47153.0320230408140641142,Stop 142,-27.47137,153.02602
27.47153.03202304081406410,Stop 0,-27.47137,153.02602
27.4153.1120230408144615102,Stop 102,-27.39565,153.10733
27.4153.11202304081507430,Stop 0,-27.39565,153.10733
27.43153.152023040815202492,Stop 92,-27.42562,153.15028
27.43153.15202304120610410,Stop 0,-27.42657,153.14998
27.47153.0220230412070245156,Stop 156,-27.46937,153.02473
27.47153.02202304120737570,Stop 0,-27.46937,153.02473
27.44153.1320230412082137123,Stop 123,-27.44058,153.1276
27.44153.13202304120826390,Stop 0,-27.44058,153.1276
27.43153.152023041208462075,Stop 75,-27.42655,153.14997
27.43153.15202304120907140,Stop 0,-27.42555,153.15028
27.48153.0220230412093949158,Stop 158,-27.4785,153.02217
27.48153.02202304120958280,Stop 0,-27.4785,153.02217
27.48153.042023041210081730,Stop 30,-27.48252,153.03633
27.48153.04202304121020030,Stop 0,-27.48252,153.03633
27.5153.042023041210505279,Stop 79,-27.50065,153.03592
27.5153.04202304121107400,Stop 0,-27.50065,153.03592
27.73153.2320230412113916186,Stop 186,-27.73228,153.22832
27.73153.23202304121210500,Stop 0,-27.73232,153.2283
27.73153.222023041212305239,Stop 39,-27.73278,153.22137
27.73153.22202304121238130,Stop 0,-27.73275,153.2214
27.43153.1520230412134336302,Stop 302,-27.42623,153.15167
27.43153.15202304130626060,Stop 0,-27.42603,153.15008
27.47153.0220230413070739151,Stop 151,-27.4694,153.02478
27.47153.02202304130746150,Stop 0,-27.4693,153.02473
27.48153.022023041308002835,Stop 35,-27.47902,153.0231
27.48153.02202304130815380,Stop 0,-27.47902,153.0231
27.43153.1520230413084846135,Stop 135,-27.42557,153.15025
27.43153.15202304130932090,Stop 0,-27.42602,153.1501
27.48153.0420230413095949135,Stop 135,-27.48258,153.03635
27.48153.04202304131022440,Stop 0,-27.48258,153.03635
27.5153.042023041310282723,Stop 23,-27.50083,153.03592
27.5153.04202304131042480,Stop 0,-27.50083,153.03592
27.49153.042023041310495423,Stop 23,-27.48682,153.03522
27.49153.04202304131057250,Stop 0,-27.48682,153.03522
27.43153.1520230413115205172,Stop 172,-27.42563,153.15032
27.43153.15202304131202520,Stop 0,-27.42563,153.15032
27.45153.172023041312162253,Stop 53,-27.44863,153.173
27.45153.17202304131229080,Stop 0,-27.4486,153.17302
27.45153.172023041312353425,Stop 25,-27.4485,153.17297
27.45153.17202304131429540,Stop 0,-27.44858,153.17298
27.43153.152023041314402538,Stop 38,-27.42603,153.14998
27.43153.15202304131447410,Stop 0,-27.42603,153.14998
27.52153.2620230413152511159,Stop 159,-27.52093,153.25668
27.52153.26202304131525230,Stop 0,-27.52093,153.25668
27.5153.222023041315385948,Stop 48,-27.50258,153.22017
27.5153.22202304140306480,Stop 0,-27.5027,153.22007
27.43153.1520230414033422137,Stop 137,-27.42608,153.14995
27.43153.15202304140613270,Stop 0,-27.426,153.15005
27.5153.0520230414065113150,Stop 150,-27.50095,153.04508
27.5153.05202304140737400,Stop 0,-27.50097,153.04503
27.47153.022023041407530551,Stop 51,-27.46935,153.02472
27.47153.02202304140813030,Stop 0,-27.46942,153.02465
27.43153.1520230414090330204,Stop 204,-27.42603,153.14998
27.43153.15202304140933370,Stop 0,-27.42602,153.15012
27.46153.0320230414100153126,Stop 126,-27.45608,153.03343
27.46153.03202304141021590,Stop 0,-27.45608,153.03343
27.47153.032023041410430765,Stop 65,-27.47163,153.02618
27.47153.03202304141043070,Stop 0,-27.47163,153.02618
27.48153.022023041411083535,Stop 35,-27.47957,153.02278
27.48153.02202304141118170,Stop 0,-27.47957,153.02278
27.48153.042023041411255322,Stop 22,-27.48258,153.03637
27.48153.04202304141144010,Stop 0,-27.48258,153.03637
27.44153.132023041412031490,Stop 90,-27.44058,153.12763
27.44153.13202304141207200,Stop 0,-27.44058,153.12763
27.43153.152023041412193040,Stop 40,-27.42558,153.15028
27.43153.15202304141234340,Stop 0,-27.426,153.1501
27.5153.0420230414130612143,Stop 143,-27.50078,153.0359
27.49153.04202304141338280,Stop 0,-27.48688,153.03508
27.47153.072023041413524444,Stop 44,-27.46882,153.07148
27.47153.07202304141357480,Stop 0,-27.46882,153.07148
27.43153.1520230414142115100,Stop 100,-27.42555,153.15027
27.43153.15202304170619450,Stop 0,-27.42603,153.15008
27.47153.0220230417070550168,Stop 168,-27.46943,153.02458
27.47153.02202304170744050,Stop 0,-27.46953,153.02445
27.48153.022023041707582230,Stop 30,-27.47902,153.02313
27.48153.02202304170817520,Stop 0,-27.47902,153.02313
27.43153.1520230417085311138,Stop 138,-27.42558,153.15025
27.43153.15202304170946420,Stop 0,-27.42598,153.15
27.48153.0420230417102011132,Stop 132,-27.48257,153.03633
27.48153.04202304171038490,Stop 0,-27.48257,153.03633
27.46153.032023041710523034,Stop 34,-27.45607,153.03343
27.46153.03202304171101150,Stop 0,-27.45607,153.03343
27.48153.042023041711101928,Stop 28,-27.48113,153.0363
27.48153.04202304171115200,Stop 0,-27.48113,153.0363
27.5153.042023041711573362,Stop 62,-27.50075,153.03578
27.5153.04202304171217340,Stop 0,-27.50073,153.03575
27.47153.032023041712315347,Stop 47,-27.47128,153.02655
27.47153.03202304171231530,Stop 0,-27.47128,153.02655
27.43153.1520230417132021140,Stop 140,-27.42553,153.1503
27.43153.15202304180528400,Stop 0,-27.42597,153.15007
27.47153.0220230418061212143,Stop 143,-27.4693,153.02477
27.47153.02202304180636070,Stop 0,-27.46932,153.02472
27.48153.022023041806474930,Stop 30,-27.47902,153.02322
27.48153.02202304180658030,Stop 0,-27.47902,153.02322
27.46153.032023041807132842,Stop 42,-27.45605,153.0334
27.46153.03202304180725560,Stop 0,-27.45605,153.0334
27.43153.1520230418080508124,Stop 124,-27.42558,153.15025
27.43153.15202304180821480,Stop 0,-27.42603,153.1501
27.48153.0420230418090347143,Stop 143,-27.4826,153.03633
27.48153.04202304180921060,Stop 0,-27.4826,153.03633
27.5153.042023041809290325,Stop 25,-27.50062,153.03595
27.5153.04202304180955320,Stop 0,-27.50062,153.03595
27.47153.032023041810493999,Stop 99,-27.47145,153.02607
27.47153.03202304181049390,Stop 0,-27.47145,153.02607
27.44153.1320230418112929109,Stop 109,-27.44057,153.12765
27.44153.13202304181135280,Stop 0,-27.44057,153.12765
27.43153.152023041811431137,Stop 37,-27.42555,153.1503
27.43153.15202304181453550,Stop 0,-27.42603,153.15
27.5153.2220230418154413214,Stop 214,-27.50262,153.22008
27.5153.22202304190305020,Stop 0,-27.50262,153.22008
27.43153.1520230419032550117,Stop 117,-27.42603,153.14997
27.43153.15202304190613200,Stop 0,-27.42602,153.15008
27.47153.0220230419071318179,Stop 179,-27.46942,153.0247
27.47153.02202304190733350,Stop 0,-27.46942,153.0247
27.48153.022023041907483140,Stop 40,-27.47905,153.02313
27.48153.02202304190804400,Stop 0,-27.47855,153.02293
27.48153.032023041908120919,Stop 19,-27.48127,153.033
27.48153.03202304190822580,Stop 0,-27.48127,153.033
27.46153.032023041908350929,Stop 29,-27.4561,153.03342
27.46153.03202304190846220,Stop 0,-27.4561,153.03342
27.43153.1520230419092704150,Stop 150,-27.42608,153.14997
27.43153.15202304190943270,Stop 0,-27.42595,153.15007
27.47153.0320230419101830137,Stop 137,-27.47152,153.02607
27.47153.03202304191018300,Stop 0,-27.47152,153.02607
27.48153.042023041910435629,Stop 29,-27.48108,153.03625
27.48153.04202304191121010,Stop 0,-27.48147,153.03965
27.5153.042023041911330729,Stop 29,-27.5006,153.03593
27.5153.04202304191148340,Stop 0,-27.5006,153.03593
27.44153.1720230419124109176,Stop 176,-27.43555,153.1734
27.44153.17202304191247450,Stop 0,-27.43555,153.1734
27.43153.152023041913060252,Stop 52,-27.426,153.14995
27.43153.15202304192030590,Stop 0,-27.42608,153.14998
27.45153.172023041920380441,Stop 41,-27.44578,153.17173
27.45153.17202304192047120,Stop 0,-27.44578,153.17173
27.43153.152023041920544339,Stop 39,-27.42605,153.14995
