stop_id,trip_id,timepoint,stop_sequence,arrival_time,departure_time
27.444153.1722023040619005942,T_43,1,2,19:00:59,19:00:59
27.444153.172202304061915330,T_44,1,1,19:15:33,19:15:33
27.426153.152023040619230036,T_44,1,2,19:23:00,19:23:00
27.426153.15202304080529230,T_45,1,1,05:29:23,05:29:23
27.47153.02520230408060204159,T_45,1,2,06:02:04,06:02:04
27.469153.025202304080635530,T_46,1,1,06:35:53,06:35:53
27.479153.0232023040806495043,T_46,1,2,06:49:50,06:49:50
27.479153.023202304080703080,T_47,1,1,07:03:08,07:03:08
27.477153.122023040807225988,T_47,1,2,07:22:59,07:22:59
27.477153.12202304080734520,T_48,1,1,07:34:52,07:34:52
27.426153.152023040807450468,T_48,1,2,07:45:04,07:45:04
27.426153.15202304080809430,T_49,1,1,08:09:43,08:09:43
27.483153.03720230408084024137,T_49,1,2,08:40:24,08:40:24
27.483153.037202304080902350,T_50,1,1,09:02:35,09:02:35
27.456153.0332023040809124030,T_50,1,2,09:12:40,09:12:40
27.456153.033202304080927570,T_51,1,1,09:27:57,09:27:57
27.426153.1520230408095722135,T_51,1,2,09:57:22,09:57:22
27.426153.15202304081024290,T_52,1,1,10:24:29,10:24:29
27.471153.02620230408111424184,T_52,1,2,11:14:24,11:14:24
27.471153.026202304081145170,T_53,1,1,11:45:17,11:45:17
27.487153.0352023040812103741,T_53,1,2,12:10:37,12:10:37
27.487153.035202304081220160,T_54,1,1,12:20:16,12:20:16
27.501153.0362023040812260318,T_54,1,2,12:26:03,12:26:03
27.501153.036202304081237220,T_55,1,1,12:37:22,12:37:22
27.426153.1520230408130600148,T_55,1,2,13:06:00,13:06:00
27.427153.15202304081336020,T_56,1,1,13:36:02,13:36:02
27.471153.02620230408140641142,T_56,1,2,14:06:41,14:06:41
27.471153.026202304081406410,T_57,1,1,14:06:41,14:06:41
27.396153.10720230408144615102,T_57,1,2,14:46:15,14:46:15
27.396153.107202304081507430,T_58,1,1,15:07:43,15:07:43
27.426153.152023040815202492,T_58,1,2,15:20:24,15:20:24
27.427153.15202304120610410,T_59,1,1,06:10:41,06:10:41
27.469153.02520230412070245156,T_59,1,2,07:02:45,07:02:45
27.469153.025202304120737570,T_60,1,1,07:37:57,07:37:57
27.441153.12820230412082137123,T_60,1,2,08:21:37,08:21:37
27.441153.128202304120826390,T_61,1,1,08:26:39,08:26:39
27.427153.152023041208462075,T_61,1,2,08:46:20,08:46:20
27.426153.15202304120907140,T_62,1,1,09:07:14,09:07:14
27.479153.02220230412093949158,T_62,1,2,09:39:49,09:39:49
27.479153.022202304120958280,T_63,1,1,09:58:28,09:58:28
27.483153.0362023041210081730,T_63,1,2,10:08:17,10:08:17
27.483153.036202304121020030,T_64,1,1,10:20:03,10:20:03
27.501153.0362023041210505279,T_64,1,2,10:50:52,10:50:52
27.501153.036202304121107400,T_65,1,1,11:07:40,11:07:40
27.732153.22820230412113916186,T_65,1,2,11:39:16,11:39:16
27.732153.228202304121210500,T_66,1,1,12:10:50,12:10:50
