stop_code,stop_id,stop_lat,stop_lon,stop_name,zone_id
DC0136,10436,28.527867,77.272383,CRPF Camp / Crown Plaza,10436
DC0137,10437,28.526100,77.273600,Bank,10437
U03297,10438,28.520300,77.277700,Okhla Ph-I,10438
U99679Z,10439,28.510917,77.281167,Tehkhand Depot DTC,10439
U03321,10440,28.504400,77.279300,Prem Nagar,10440
U03366,10441,28.502600,77.284517,Lal Kuan,10441
U03435,10442,28.501700,77.291000,Surajkund Crossing,10442
U03466,10443,28.500000,77.294633,Prehlad Pur,10443
U03520,10444,28.499500,77.299267,Badarpur M B Road,10444
U03544,10445,28.498104,77.302191,Jaitpur Crossing,10445
DC4311,10446,28.628968,76.997542,Dichau Kalan Depot,10446
DC4312,10447,28.625293,76.992481,Nirmal Vihar,10447
DC4313,10448,28.621564,76.988064,Udaseen Ashram,10448
DC4314,10449,28.616516,76.983820,Dichau Chowk,10449
U00233,10450,28.611746,76.985721,Najafgarh Delhi Gate,10450
U00231,10451,28.607056,76.986005,Chawla Stand Najafgarh,10451
U00251,10452,28.600879,76.988758,BDO Office,10452
U00255,10453,28.596640,76.990460,Durga Vihar,10453
U00263,10454,28.593300,76.992000,Deenpur Village,10454
U00267,10455,28.591726,76.992969,Goela Dairy Crossing,10455
DC4323,10456,28.591481,77.000564,Shyam Vihar,10456
DC4327,10457,28.583311,77.011776,Taj Pur More,10457
DC4329,10458,28.581902,77.015056,St Thomas School Goyla Vihar,10458
DC4331,10459,28.580514,77.019268,Nehru Bus Stand Goyla Dairy,10459
DC4333,10460,28.579855,77.021953,Goyla Dairy (Qutub Vihar),10460
DC4335,10461,28.579252,77.024293,Jhankar Crossing,10461
DC4337,10462,28.578400,77.029767,Qutub Vihar Phase-I Kikar Stand,10462
DC4339,10463,28.577431,77.035333,Police Post,10463
DC4343,10464,28.574817,77.051300,Amrohi More,10464
DC4345,10465,28.578167,77.054200,Dwarka Sec-19 Modern School,10465
DC4198,10466,28.579068,77.059118,NHAI Building/ Dwarka Sec-10 Metro Station,10466
DC4199,10467,28.582753,77.062279,President Cabinet Apartments,10467
DC4200,10468,28.587688,77.066452,Princess Park/ Airforce Noval Office Enclave,10468
DC4201,10469,28.591260,77.069535,Dwarka Sec-6/7,10469
DC4202,10470,28.593228,77.070994,Dwarka Sec-6 Telephone Exchange,10470
DC3646,10471,28.593100,77.079680,Dwarka Crossing / Maharaja Agrasen Hospital,10471
U00731,10472,28.592015,77.081258,Health Centre,10472
U00780,10473,28.590099,77.086907,Mangla Puri Terminal,10473
U02523A,10474,28.632763,77.215806,Shivaji Stadium Terminal,10474
DC3751,10475,28.633250,77.212283,Shaheed Bhagat Singh Marg,10475
U02415,10476,28.633562,77.209301,Shaheed Bhagat Singh Marg,10476
U02288,10477,28.634700,77.203700,Gole Market,10477
U02283,10478,28.638783,77.203450,PS Mandir Marg,10478
U02306BM,10479,28.639867,77.204300,Balmiki Mandir,10479
U02295,10480,28.641700,77.204200,Panchkuian Road Banwai Lal Hospital,10480
U02240,10481,28.643667,77.201033,Meghdoot Bhawan,10481
U02105,10482,28.644583,77.192833,Pusa Road Petrol Pump Sadhu Vaswani Marg,10482
U02028,10483,28.643911,77.188747,Karol Bagh Metro Station,10483
U01796,10484,28.642411,77.173409,East Patel Nagar,10484
U01717,10485,28.645395,77.168420,South Patel Nagar (Metro Station),10485
U01665,10486,28.647504,77.164974,West Patel Nagar,10486
U01575,10487,28.651345,77.158510,Shadipur DTC Colony Metro Station,10487
U01543,10488,28.653117,77.155500,Shadipur Depot,10488
U01472,10489,28.657317,77.148500,Moti Nagar Industrial Area,10489
U01399,10490,28.661000,77.142383,Karampura Terminal,10490
U01374,10491,28.663500,77.140600,New Moti Nagar B Block,10491
U01337,10492,28.669047,77.137160,Punjabi Bagh Terminal,10492
U01463,10493,28.684228,77.147619,Shakkur Pur Crossing / Britannia,10493
U01488,10494,28.686452,77.150998,Telephone Exchange,10494
U01521,10495,28.691698,77.153496,Netaji Subhas Place/Wazirpur Depot,10495
U01504,10496,28.697900,77.151475,Guru Govind Singh College,10496
U01498,10497,28.699707,77.151202,TV Tower (Power House),10497
U01426,10498,28.699912,77.144280,DAV School,10498
U99722,10499,28.700200,77.141100,Pitam Pura KD Block,10499
U01361,10500,28.703277,77.139304,Pittampura AP-Block,10500
U01345,10501,28.705955,77.138462,Pitampura CD-Block,10501
U01270,10502,28.704931,77.132221,Madhuban Chowk (Outer Ring Road),10502
U01251,10503,28.704675,77.130151,Madhuvan Chowk,10503
U01194,10504,28.708246,77.124483,Sai Baba Chowk Rohini,10504
U01174,10505,28.709060,77.123648,Sai Baba Chowk Rohini,10505
U01101,10506,28.711578,77.120316,Rohini Sec 7 and 8,10506
DC0005,10507,28.715000,77.115000,Rohini West Metro Station,10507
U01081,10508,28.715800,77.113983,Rohini Depot 1 Sec 6 (Ambedkar Hospital),10508
U01064,10509,28.717250,77.111833,Rajeev Gandhi Cancer Hospital,10509
U01033,10510,28.719600,77.108400,Rithala Metro Station,10510
U01006,10511,28.723500,77.103600,Pal Colony,10511
DC0040,10512,28.725917,77.100106,Rithala Village,10512
DC0041,10513,28.727000,77.098400,Sec-24 Rohini Main Road,10513
DC0042,10514,28.729650,77.094683,Dera Satguru Sewaram Sahai Sec 24/25,10514
DC0044,10515,28.722883,77.087733,Hanuman Mandir Rohini Sec 24,10515
DC0045,10516,28.719309,77.084710,Rohini Sec 23 Pkt 1 (Green Hill Aptt.),10516
DC4419,10517,28.532153,76.922323,Ghuman Hera Village,10517
DC4420,10518,28.536905,76.922167,Ghuman Hera More / Shikarpur Crossing,10518
DC4421,10519,28.548976,76.930686,Dewta Wala mandir,10519
DC4422,10520,28.556822,76.936855,Hasanpur Village,10520
DC4423,10521,28.561760,76.941887,KharKhari Rondh,10521
