stop_id,trip_id,timepoint,stop_sequence,arrival_time,departure_time
27.4153.1120230408144615102,T_57,1,2,901,901
27.4153.11202304081507430,T_58,1,1,950,950
27.43153.152023040815202492,T_58,1,2,944,944
27.43153.15202304120610410,T_59,1,1,411,411
27.47153.0220230412070245156,T_59,1,2,467,467
27.47153.02202304120737570,T_60,1,1,514,514
27.44153.1320230412082137123,T_60,1,2,538,538
27.44153.13202304120826390,T_61,1,1,545,545
27.43153.152023041208462075,T_61,1,2,546,546
27.43153.15202304120907140,T_62,1,1,561,561
27.48153.0220230412093949158,T_62,1,2,628,628
27.48153.02202304120958280,T_63,1,1,626,626
27.48153.042023041210081730,T_63,1,2,625,625
27.48153.04202304121020030,T_64,1,1,623,623
27.5153.042023041210505279,T_64,1,2,702,702
27.5153.04202304121107400,T_65,1,1,707,707
27.73153.2320230412113916186,T_65,1,2,715,715
27.73153.23202304121210500,T_66,1,1,780,780
27.73153.222023041212305239,T_66,1,2,802,802
27.73153.22202304121238130,T_67,1,1,771,771
27.43153.1520230412134336302,T_67,1,2,859,859
27.43153.15202304130626060,T_68,1,1,392,392
27.47153.0220230413070739151,T_68,1,2,466,466
27.47153.02202304130746150,T_69,1,1,481,481
27.48153.022023041308002835,T_69,1,2,508,508
27.48153.02202304130815380,T_70,1,1,533,533
27.43153.1520230413084846135,T_70,1,2,574,574
27.43153.15202304130932090,T_71,1,1,581,581
27.48153.0420230413095949135,T_71,1,2,648,648
27.48153.04202304131022440,T_72,1,1,666,666
27.5153.042023041310282723,T_72,1,2,655,655
27.5153.04202304131042480,T_73,1,1,690,690
27.49153.042023041310495423,T_73,1,2,703,703
27.49153.04202304131057250,T_74,1,1,682,682
27.43153.1520230413115205172,T_74,1,2,717,717
27.43153.15202304131202520,T_75,1,1,774,774
27.45153.172023041312162253,T_75,1,2,758,758
27.45153.17202304131229080,T_76,1,1,757,757
27.45153.172023041312353425,T_76,1,2,789,789
27.45153.17202304131429540,T_77,1,1,923,923
27.43153.152023041314402538,T_77,1,2,905,905
27.43153.15202304131447410,T_78,1,1,928,928
27.52153.2620230413152511159,T_78,1,2,936,936
27.52153.26202304131525230,T_79,1,1,948,948
27.5153.222023041315385948,T_79,1,2,997,997
27.5153.22202304140306480,T_80,1,1,234,234
27.43153.1520230414033422137,T_80,1,2,236,236
27.43153.15202304140613270,T_81,1,1,400,400
27.5153.0520230414065113150,T_81,1,2,424,424
27.5153.05202304140737400,T_82,1,1,497,497
27.47153.022023041407530551,T_82,1,2,478,478
27.47153.02202304140813030,T_83,1,1,496,496
27.43153.1520230414090330204,T_83,1,2,573,573
27.43153.15202304140933370,T_84,1,1,610,610
27.46153.0320230414100153126,T_84,1,2,654,654
27.46153.03202304141021590,T_85,1,1,680,680
27.47153.032023041410430765,T_85,1,2,650,650
27.47153.03202304141043070,T_86,1,1,650,650
27.48153.022023041411083535,T_86,1,2,703,703
27.48153.02202304141118170,T_87,1,1,695,695
27.48153.042023041411255322,T_87,1,2,738,738
27.48153.04202304141144010,T_88,1,1,705,705
27.44153.132023041412031490,T_88,1,2,737,737
27.44153.13202304141207200,T_89,1,1,747,747
27.43153.152023041412193040,T_89,1,2,769,769
27.43153.15202304141234340,T_90,1,1,788,788
27.5153.0420230414130612143,T_90,1,2,798,798
27.49153.04202304141338280,T_91,1,1,846,846
27.47153.072023041413524444,T_91,1,2,876,876
27.47153.07202304141357480,T_92,1,1,885,885
27.43153.1520230414142115100,T_92,1,2,876,876
27.43153.15202304170619450,T_93,1,1,424,424
27.47153.0220230417070550168,T_93,1,2,475,475
27.47153.02202304170744050,T_94,1,1,469,469
27.48153.022023041707582230,T_94,1,2,500,500
27.48153.02202304170817520,T_95,1,1,549,549
27.43153.1520230417085311138,T_95,1,2,544,544
27.43153.15202304170946420,T_96,1,1,628,628
27.48153.0420230417102011132,T_96,1,2,631,631
27.48153.04202304171038490,T_97,1,1,687,687
27.46153.032023041710523034,T_97,1,2,682,682
27.46153.03202304171101150,T_98,1,1,676,676
27.48153.042023041711101928,T_98,1,2,689,689
27.48153.04202304171115200,T_99,1,1,695,695
27.5153.042023041711573362,T_99,1,2,750,750
27.5153.04202304171217340,T_100,1,1,771,771
27.47153.032023041712315347,T_100,1,2,804,804
27.47153.03202304171231530,T_101,1,1,804,804
27.43153.1520230417132021140,T_101,1,2,821,821
27.43153.15202304180528400,T_102,1,1,368,368
27.47153.0220230418061212143,T_102,1,2,384,384
27.47153.02202304180636070,T_103,1,1,403,403
27.48153.022023041806474930,T_103,1,2,456,456
27.48153.02202304180658030,T_104,1,1,421,421
27.46153.032023041807132842,T_104,1,2,461,461
27.46153.03202304180725560,T_105,1,1,501,501
27.43153.1520230418080508124,T_105,1,2,493,493
27.43153.15202304180821480,T_106,1,1,549,549
27.48153.0420230418090347143,T_106,1,2,590,590
27.48153.04202304180921060,T_107,1,1,567,567
27.5153.042023041809290325,T_107,1,2,572,572
27.5153.04202304180955320,T_108,1,1,627,627
27.47153.032023041810493999,T_108,1,2,688,688
27.47153.03202304181049390,T_109,1,1,688,688
27.44153.1320230418112929109,T_109,1,2,718,718
27.44153.13202304181135280,T_110,1,1,723,723
27.43153.152023041811431137,T_110,1,2,714,714
27.43153.15202304181453550,T_111,1,1,948,948
27.5153.2220230418154413214,T_111,1,2,957,957
27.5153.22202304190305020,T_112,1,1,187,187
27.43153.1520230419032550117,T_112,1,2,255,255
27.43153.15202304190613200,T_113,1,1,393,393
27.47153.0220230419071318179,T_113,1,2,451,451
27.47153.02202304190733350,T_114,1,1,488,488
27.48153.022023041907483140,T_114,1,2,499,499
27.48153.02202304190804400,T_115,1,1,524,524
27.48153.032023041908120919,T_115,1,2,501,501
27.48153.03202304190822580,T_116,1,1,560,560
27.46153.032023041908350929,T_116,1,2,524,524
27.46153.03202304190846220,T_117,1,1,548,548
27.43153.1520230419092704150,T_117,1,2,571,571
27.43153.15202304190943270,T_118,1,1,610,610
27.47153.0320230419101830137,T_118,1,2,648,648
27.47153.03202304191018300,T_119,1,1,648,648
27.48153.042023041910435629,T_119,1,2,699,699
27.48153.04202304191121010,T_120,1,1,682,682
27.5153.042023041911330729,T_120,1,2,700,700
27.5153.04202304191148340,T_121,1,1,742,742
27.44153.1720230419124109176,T_121,1,2,770,770
27.44153.17202304191247450,T_122,1,1,812,812
27.43153.152023041913060252,T_122,1,2,788,788
27.43153.15202304192030590,T_123,1,1,1289,1289
27.45153.172023041920380441,T_123,1,2,1242,1242
27.45153.17202304192047120,T_124,1,1,1259,1259
27.43153.152023041920544339,T_124,1,2,1297,1297
27.43153.15202304200617010,T_125,1,1,378,378
27.47153.0220230420065935159,T_125,1,2,454,454
27.47153.02202304200735090,T_126,1,1,464,464
27.48153.022023042007471430,T_126,1,2,481,481
27.48153.02202304200813020,T_127,1,1,495,495
27.46153.032023042008333147,T_127,1,2,544,544
27.46153.03202304200839550,T_128,1,1,574,574
27.43153.1520230420091157121,T_128,1,2,608,608
27.43153.15202304200937410,T_129,1,1,618,618
27.48153.0420230420100654133,T_129,1,2,660,660
27.48153.04202304201024480,T_130,1,1,672,672
27.47153.032023042010381244,T_130,1,2,650,650
27.47153.03202304201102240,T_131,1,1,686,686
27.5153.0420230420120400111,T_131,1,2,724,724
27.5153.04202304201224140,T_132,1,1,758,758
27.44153.1320230420125641124,T_132,1,2,817,817
27.44153.13202304201301310,T_133,1,1,812,812
27.43153.152023042013384686,T_133,1,2,864,864
27.43153.15202304210443170,T_134,1,1,300,300
27.47153.0220230421051748132,T_134,1,2,365,365
27.47153.02202304210556420,T_135,1,1,398,398
27.48153.022023042106090731,T_135,1,2,376,376
27.48153.02202304210618020,T_136,1,1,380,380
27.43153.1520230421071621153,T_136,1,2,457,457
27.43153.15202304210820240,T_137,1,1,524,524
27.48153.0420230421092017176,T_137,1,2,577,577
27.48153.04202304210921410,T_138,1,1,602,602
27.46153.032023042109302430,T_138,1,2,594,594
27.46153.03202304210942540,T_139,1,1,636,636
