block_id,direction_id,route_id,service_id,shape_id,trip_headsign,trip_id,trip_short_name,wheelchair_accessible
3,0,R1,WK,R001_0,Thaikoodam,R1WKR205943,20:59 Thaikoodam,1
3,1,R1,WK,R001_1,Aluva,R1WKL214345,21:43 Aluva,1
4,1,R1,WK,R001_1,Aluva,R1WKL061326,06:13 Aluva,1
4,0,R1,WK,R001_0,Thaikoodam,R1WKR065725,06:57 Thaikoodam,1
4,1,R1,WK,R001_1,Aluva,R1WKL074053,07:40 Aluva,1
4,0,R1,WK,R001_0,Thaikoodam,R1WKR082353,08:23 Thaikoodam,1
4,1,R1,WK,R001_1,Aluva,R1WKL090805,09:08 Aluva,1
4,0,R1,WK,R001_0,Thaikoodam,R1WKR095115,09:51 Thaikoodam,1
4,1,R1,WK,R001_1,Aluva,R1WKL103520,10:35 Aluva,1
4,0,R1,WK,R001_0,Thaikoodam,R1WKR111919,11:19 Thaikoodam,1
4,1,R1,WK,R001_1,Aluva,R1WKL120325,12:03 Aluva,1
4,0,R1,WK,R001_0,Thaikoodam,R1WKR124657,12:46 Thaikoodam,1
4,1,R1,WK,R001_1,Aluva,R1WKL133110,13:31 Aluva,1
4,0,R1,WK,R001_0,Thaikoodam,R1WKR141444,14:14 Thaikoodam,1
4,1,R1,WK,R001_1,Aluva,R1WKL145855,14:58 Aluva,1
4,0,R1,WK,R001_0,Thaikoodam,R1WKR154229,15:42 Thaikoodam,1
4,1,R1,WK,R001_1,Aluva,R1WKL162341,16:23 Aluva,1
4,0,R1,WK,R001_0,Thaikoodam,R1WKR170700,17:07 Thaikoodam,1
4,1,R1,WK,R001_1,Aluva,R1WKL175105,17:51 Aluva,1
4,0,R1,WK,R001_0,Thaikoodam,R1WKR183431,18:34 Thaikoodam,1
4,1,R1,WK,R001_1,Aluva,R1WKL191835,19:18 Aluva,1
4,0,R1,WK,R001_0,Thaikoodam,R1WKR195934,19:59 Thaikoodam,1
4,1,R1,WK,R001_1,Aluva,R1WKL204345,20:43 Aluva,1
