shape_id,shape_dist_traveled,shape_pt_lon,shape_pt_sequence,shape_pt_lat
R001_0,0.0,76.34918872659786,1,10.110608860405783
R001_0,0.04,76.34934604853134,2,10.110250193435004
R001_0,0.08,76.3495,3,10.1099
R001_0,0.14,76.34961929188948,4,10.109410585097017
R001_0,0.19,76.34971865311061,5,10.109003007442977
R001_0,0.32,76.3499587760617,6,10.107845484086933
R001_0,0.41000000000000003,76.35008297758814,7,10.107079233938267
R001_0,0.47000000000000003,76.35014921840224,8,10.106533075802389
R001_0,0.55,76.35015749850399,9,10.105848338918063
R001_0,0.63,76.35012437809694,10,10.105114690637768
R001_0,0.7,76.35004157707932,11,10.104462557427555
R001_0,0.77,76.3499173755529,12,10.103875636407402
R001_0,0.86,76.34967725260182,13,10.103101225088661
R001_0,0.96,76.34934604853134,14,10.102269749807036
R001_0,1.04,76.34898793413015,15,10.101666521296314
R001_0,1.19,76.34822616476806,16,10.10058233748009
R001_0,1.25,76.34794464130816,17,10.100142141504032
R001_0,1.37,76.34742299489717,18,10.099155774259282
R001_0,1.4200000000000002,76.34724704273474,19,10.098788942694194
R001_0,1.5100000000000002,76.3469737993766,20,10.097981911778632
R001_0,1.6100000000000003,76.34679991723961,21,10.097101512107363
R001_0,1.7100000000000004,76.34671711622198,22,10.096172198729745
R001_0,1.7900000000000005,76.34665087540789,23,10.095454832181671
R001_0,1.8300000000000005,76.3466,24,10.0951
R001_0,1.8800000000000006,76.34651011367795,25,10.094631489058944
R001_0,1.9600000000000006,76.34632795143918,26,10.093954878777392
R001_0,2.0500000000000007,76.3460774783609,27,10.09318859553606
R001_0,2.1400000000000006,76.34577939469747,28,10.092463070360308
R001_0,2.3900000000000006,76.3446698610614,29,10.090449525632145
R001_0,2.5400000000000005,76.34397433251341,30,10.089267479338519
R001_0,2.6500000000000004,76.34349305159851,31,10.08842781623194
R001_0,2.7100000000000004,76.3432115281386,32,10.087954995266635
R001_0,2.8000000000000003,76.3428,33,10.0873
R001_0,2.85,76.34260190564639,34,10.086895221615906
R001_0,2.94,76.34221688091448,35,10.08622267114428
R001_0,3.17,76.34119532335961,36,10.084457728986427
R001_0,3.34,76.34042941394667,37,10.083104464246922
R001_0,3.4899999999999998,76.33984152672157,38,10.081873477529253
R001_0,3.5799999999999996,76.33954344305815,39,10.081099013277115
R001_0,3.6699999999999995,76.3392648952598,40,10.08030263789797
R001_0,3.7899999999999996,76.3389,41,10.0793
R001_0,3.9499999999999997,76.33838616946036,42,10.077922161821723
R001_0,4.029999999999999,76.33810464600047,43,10.077306659154111
R001_0,4.079999999999999,76.33783761271864,44,10.076923497959617
R001_0,4.129999999999999,76.33752296885172,45,10.076577022019373
R001_0,4.199999999999999,76.3370251277333,46,10.07615309800953
R001_0,4.3999999999999995,76.33575827216379,47,10.07491800853431
R001_0,4.63,76.33426992387216,48,10.073430188198621
R001_0,4.74,76.3336,49,10.0727
R001_0,4.92,76.33263149873608,50,10.07144505832319
R001_0,5.17,76.33098996856185,51,10.069822704918261
R001_0,5.31,76.33007294729175,52,10.06892184686672
R001_0,5.409999999999999,76.32944365955788,53,10.068216648537405
R001_0,5.489999999999999,76.32899860408818,54,10.067678577099308
R001_0,5.72,76.32796980144431,55,10.06583200693271
R001_0,5.91,76.32697618923294,56,10.064397137169466
R001_0,6.08,76.32591633620746,57,10.063223148073885
R001_0,6.2700000000000005,76.32445903829742,58,10.062277431531228
R001_0,6.420000000000001,76.32339918527194,59,10.061429545379392
R001_0,6.530000000000001,76.32276989753807,60,10.060646879263217
R001_0,6.6800000000000015,76.32227309143236,61,10.059375042778887
R001_0,6.770000000000001,76.322,62,10.0586
R001_0,6.8900000000000015,76.32161068329144,63,10.057630335864618
R001_0,7.170000000000002,76.3212132384069,64,10.055135551663975
R001_0,7.420000000000002,76.32024860655166,65,10.053064703089197
R001_0,7.650000000000002,76.31950339739313,66,10.05109167753654
R001_0,8.160000000000002,76.3182,67,10.0467
R001_0,8.860000000000001,76.31633625846933,68,10.04068825279645
R001_0,9.410000000000002,76.3144,69,10.0361
R001_0,9.850000000000001,76.3126184927784,70,10.032534864816691
R001_0,10.64,76.30900836841036,71,10.02640338182592
R001_0,10.8,76.3083,72,10.0251
R001_0,11.530000000000001,76.30497457883551,73,10.01943910589762
R001_0,11.73,76.30376580943441,74,10.018132638905785
R001_0,11.9,76.30276341529691,75,10.016942297731514
R001_0,11.98,76.30238014695023,76,10.016332609096933
R001_0,12.110000000000001,76.3023,77,10.0152
R001_0,12.21,76.30220325386713,78,10.014300305372988
R001_0,12.75,76.30358891635133,79,10.009625958503708
R001_0,13.13,76.3048,80,10.0064
R001_0,13.290000000000001,76.30510724864781,81,10.005038645826346
R001_0,13.350000000000001,76.30510724864781,82,10.004530553410598
R001_0,13.490000000000002,76.30470923921088,83,10.003369196332768
R001_0,13.690000000000001,76.30354469308054,84,10.001932011200497
R001_0,13.740000000000002,76.30317616582411,85,10.001714255322778
R001_0,13.820000000000002,76.30243668515558,86,10.001517548873277
R001_0,14.040000000000003,76.300449771081,87,10.001119841466005
R001_0,14.090000000000003,76.3,88,10.001
R001_0,14.100000000000003,76.29998131166504,89,10.000913033421826
R001_0,14.240000000000004,76.2989,90,10.0002
R001_0,14.380000000000004,76.29778843698517,91,9.999529006968833
R001_0,14.510000000000005,76.29686767192622,92,9.998741541011
R001_0,14.750000000000005,76.29517960265149,93,9.997333642573508
R001_0,14.880000000000006,76.29422653004659,94,9.996601851146377
R001_0,15.100000000000007,76.2926030758637,95,9.995416663709888
